airbrush, pistolet natryskowy
artwork, oprawa graficzna
brush, pędzel
collage, kolaż
crayon, kredka
crosshatching, szrafowanie
depicting, przedstawienie (czegoś)
enamel, emalia
etching, akwaforta
fresco, fresk
gouache, gwasz
high relief, wypukłorzeźba
latex paint, farba lateksowa
low relief, płaskorzeźba
maquette, makieta
marbling, marmurkowanie
mural, malowidło ścienne
sculpture, rzeźba
solvent, rozpuszczalnik
turpentine, terpentyna
vellum, pergamin
woodcut, drzeworyt
auk, alka
beak, dziób
birdhouse, budka dla ptaków
brood, młode
coot, łyska
cowbird, starzyk rudogłowy
crane, żuraw
curlew, kulik
emu, emu
flightless, nielatający
hummingbird, koliber
lark, skowronek
loon, nur
macaw, ara
nest, gniazdo
osprey, rybołów
owl, sowa
parrot, papuga
robin, rudzik
quail, przepiórka
roadrunner, kukawka srokata
stork, bocian
woodpecker, dzięcioł
abdomen, brzuch
appendix, wyrostek robaczkowy
artery, tętnica
bladder, pęcherz moczowy
buttocks, pośladki
collar bone, obojczyk
ear lobe, płatek ucha
eyelid, powieka
fibula, kość strzałkowa
gums, dziąsła
hip, biodro
index finger, palec wskazujący
kidney, nerka
larynx, krtań
liver, wątroba
lungs, płuca
molar, ząb trzonowy
navel, pępek
nostril, nozdrze
ovaries, jajniki
pinky, mały palec u dłoni
shin, goleń
sole, podeszwa u stopy
tendon, ścięgno
tibia, kość piszczelowa
tonsils, migdałki
torso, tułów
waist, talia
accelerator pedal, pedał gazu
airbag, poduszka powietrzna
alignment, osiowanie
armrest, podłokietnik
axle, oś
backup light, światło cofania
bumper, zderzak
camshaft, wał rozrządczy
chassis, podwozie
clutch, sprzęgło
crankshaft, wał korbowy
drive shaft, wał napędowy
exhaust system, układ wydechowy
fog lights, światła przeciwmgielne
gas tank, bak
gauge, wskaźnik
hand brake, hamulec ręczny
ignition, zapłon, stacyjka
internal combustion engine, silnik spalin
source, https://www.ingless.pl/artykul/slownictwo-na-poziomie-c2/